"","building_code","city_code","season","ground_max","roof_max","gr","sqrtgr","logground","measurement.x","wind_avg","measurement.y","temp_avg","City","Province","Type","Bld_Type","Name","Roof_Type","Slope","Size","Eave_Height","Material","Exposure","Heated","Insulated","Parapet","order","lat","long","roofflat","measurement.x.x","winter_wind","measurement.y.y","above_freeze","residual"
"46","edab01","edab",5,11.86415821,2.646688815,0.223082731041902,0.472316346363221,2.47352194004678,"wind",15.5290700643306,"temp",20.7737196856222,"Edmonton ","AB","A",1,"Administration Building","Flat",0,3404,60,NA,2,1,1,0,15,53.5,-113.5,1,"wind",0.903225806451613,"temp",0.177777777777778,-0.175402171297974
"47","edab01","edab",6,28.44162817,2.489104976,0.0875162617668101,0.295831475280792,3.34785385259313,"wind",11.0644536142867,"temp",16.1204612755872,"Edmonton ","AB","A",1,"Administration Building","Flat",0,3404,60,NA,2,1,1,0,15,53.5,-113.5,1,"wind",0.6,"temp",0.220183486238532,-0.237509080107812
"48","edab01","edab",7,6.417632747,2.586474378,0.40302623723819,0.634843474596841,1.859049318707,"wind",16.1740873793271,"temp",18.9874986300899,"Edmonton ","AB","A",1,"Administration Building","Flat",0,3404,60,NA,2,1,1,0,15,53.5,-113.5,1,"wind",0.906542056074766,"temp",0.235955056179775,-0.0932588484506356
"49","edab01","edab",8,6.656792183,5.346776737,0.803206197521759,0.896217717701318,1.89563771431545,"wind",20.4405874673934,"temp",12.8820983423812,"Edmonton ","AB","A",1,"Administration Building","Flat",0,3404,60,NA,2,1,1,0,15,53.5,-113.5,1,"wind",0.959558823529412,"temp",0.104972375690608,0.172901799075853
"50","edab01","edab",9,23.52236245,3.58907928,0.152581582212632,0.390616925148709,3.15795156228896,"wind",16.5026464190534,"temp",14.2754143151188,"Edmonton ","AB","A",1,"Administration Building","Flat",0,3404,60,NA,2,1,1,0,15,53.5,-113.5,1,"wind",0.931297709923664,"temp",0.178217821782178,-0.167566183375845
"51","edab01","edab",10,20.05926301,6.377194639,0.317917693976136,0.563841905126017,2.99869104257673,"wind",18.4796112213491,"temp",8.46438484069325,"Edmonton ","AB","A",1,"Administration Building","Flat",0,3404,60,NA,2,1,1,0,15,53.5,-113.5,1,"wind",0.905172413793103,"temp",0.0674846625766871,-0.0151752750522954
"52","edab01","edab",11,12.65897663,2.942685513,0.232458404735992,0.482139403840831,2.5383665785356,"wind",15.9847239681009,"temp",13.0739415179048,"Edmonton ","AB","A",1,"Administration Building","Flat",0,3404,60,NA,2,1,1,0,15,53.5,-113.5,1,"wind",0.935779816513762,"temp",0.0476190476190476,-0.157096296816631
"53","edab02","edab",3,12.75215288,5.582010879,0.437730862508292,0.661612320402433,2.54570011068365,"wind",14.0610882545063,"temp",11.0789720991216,"Edmonton ","AB","A",2,"Mining Store Shed","Gable",21,368,7,NA,0,0,0,0,16,53.5,-113.5,0,"wind",0.784810126582278,"temp",0.0675675675675676,0.0233359744835068
"54","edab02","edab",4,9.67706422,2.044824826,0.211306319717696,0.459680671464111,2.26975857223103,"wind",21.4547438212923,"temp",17.538624364956,"Edmonton ","AB","A",2,"Mining Store Shed","Gable",21,368,7,NA,0,0,0,0,16,53.5,-113.5,0,"wind",0.992307692307692,"temp",0.0879120879120879,-0.214693671590315
"55","edab02","edab",5,12.19909502,3.36929435,0.27619215560467,0.525539870613706,2.50136177029931,"wind",15.5290700643306,"temp",20.7737196856222,"Edmonton ","AB","A",2,"Mining Store Shed","Gable",21,368,7,NA,0,0,0,0,16,53.5,-113.5,0,"wind",0.903225806451613,"temp",0.177777777777778,-0.11853670854724
"56","edab02","edab",6,26.74470783,5.349222878,0.200010518417393,0.447225355293495,3.28633661563863,"wind",11.0644536142867,"temp",16.1204612755872,"Edmonton ","AB","A",2,"Mining Store Shed","Gable",21,368,7,NA,0,0,0,0,16,53.5,-113.5,0,"wind",0.6,"temp",0.220183486238532,-0.0941627345686069
"57","edab02","edab",7,7.06051429,3.88927361,0.550848486420952,0.742191677682357,1.9545178944611,"wind",16.1740873793271,"temp",18.9874986300899,"Edmonton ","AB","A",2,"Mining Store Shed","Gable",21,368,7,NA,0,0,0,0,16,53.5,-113.5,0,"wind",0.906542056074766,"temp",0.235955056179775,0.026578320208629
"58","edab02","edab",8,28.23275828,23.94084034,0.847980919985406,0.920858794813519,3.34048294489581,"wind",20.4405874673934,"temp",12.8820983423812,"Edmonton ","AB","A",2,"Mining Store Shed","Gable",21,368,7,NA,0,0,0,0,16,53.5,-113.5,0,"wind",0.959558823529412,"temp",0.104972375690608,0.38655399530844
"59","edab02","edab",9,22.6960275,9.252147401,0.407654925559109,0.638478602271924,3.12218990917307,"wind",16.5026464190534,"temp",14.2754143151188,"Edmonton ","AB","A",2,"Mining Store Shed","Gable",21,368,7,NA,0,0,0,0,16,53.5,-113.5,0,"wind",0.931297709923664,"temp",0.178217821782178,0.0756172417561074
"60","edab02","edab",10,20.97428366,4.648649601,0.221635679022756,0.470781986722895,3.04329709968426,"wind",18.4796112213491,"temp",8.46438484069325,"Edmonton ","AB","A",2,"Mining Store Shed","Gable",21,368,7,NA,0,0,0,0,16,53.5,-113.5,0,"wind",0.905172413793103,"temp",0.0674846625766871,-0.102399938166479
