building_code,city_code,City,Province,Type,Bld_Type,Name,Roof_Type,Slope,Size,Eave_Height,Material,Exposure,Heated,Insulated,Parapet,order,lat,long
rsbc02,rsbc,Revelstoke,BC,A,2,208 9th St. E,Gable,27,672,11,,0,1,1,0,9,51,-118.2
rsbc03,rsbc,Revelstoke,BC,A,3,Mountain View Elementary,Flat,0,5655,14,,2,1,1,0,10,51,-118.2
sksk01,sksk,Saskatoon ,SK,A,1,314 Lake Cres,Gable,18,1998,10,,2,1,1,0,17,52.1,-106.7
sksk02,sksk,Saskatoon ,SK,A,2,133-107th St,Gable ,23,1150,10,,2,1,1,0,18,52.1,-106.7
sksk03,sksk,Saskatoon ,SK,A,3,Outdoor Test Station,Flat,0,720,13,,,,,,19,52.1,-106.7
sksk04,sksk,Saskatoon ,SK,A,4,NRC Lab,Flat,0,532,76,,2,1,1,0,20,52.1,-106.7
sksk05,sksk,Saskatoon ,SK,A,5,Gymnasium,Flat,0,36450,38,,2,1,0,2,21,52.1,-106.7
saqc01,saqc,Ste Anne De Bellevue,QC,A,1,Poulty Building West,Gable,5,1150,9,,2,1,1,0,42,49.7,-66.5
saqc02,saqc,Ste Anne De Bellevue,QC,A,2,Poulty Building East,Gable,27,7,960,,2,1,1,0,43,49.7,-66.5
tron01,tron,Toronto,ON,A,1,11 Douglas Cres,Flat,0,1221,19,,0,1,1,0,29,43.7,-79.4
tron02,tron,Toronto ,ON,A,2,21 Douglas Cres,Gable,32,912,18,,0,1,1,0,30,43.7,-79.4
tron03,tron,Toronto,ON,C,,US Depot,,0,22752,22,,2,0,0,0,30.25,43.7,-79.4
tron04,tron,Toronto,ON,C,,ME Garage,,0,26112,21,,2,0,0,0,30.75,43.7,-79.4
vabc01,vabc,Vancouver,BC,A,1,BC Research Council,Flat,0,3360,32,,2,1,1,0,1,49.2,-123.1
vabc02,vabc,Vancouver,BC,A,2,Biology Building,Flat,0,4350,30,,2,1,1,2,2,49.2,-123.1
vabc03,vabc,Vancouver,BC,A,3,Hut M-2,Gable,25,1440,10,,1,1,0,0,3,49.2,-123.1
wbqc01,wbqc,Wabush,QC,A,1,House 18,Gable,9,1008,10,,2,1,1,0,50,52.9,-66.9
wbqc02,wbqc,Wabush,QC,A,2,House 9-11,Gable,9,2736,20,,2,1,1,0,51,52.9,-66.9
wbqc03,wbqc,Wabush,QC,A,3,Cafeteria,Flat,0,,,,2,1,1,,52,52.9,-66.9
wlon01,wlon,Waterloo,ON,A,1,254 Sunview,Gable,34,1248,10,,2,1,1,0,39,43.5,-80.5
wlon02,wlon,Waterloo,ON,A,2,Main Eng Building,Flat,0,10368,37,,2,1,1,0,40,43.5,-80.5
wlon03,wlon,Waterloo,ON,A,3,Engineering Building,Flat,0,8122,26,,2,1,1,0,41,43.5,-80.5
wnmb01,wnmb,Winnipeg,MB,A,1,Library S Wing,Flat,0,4290,21,,2,0,0,8,22,49.9,-97.1
wnmb02,wnmb,Winnipeg,MB,A,2,Agricultural Engineering Building,Gable,24,1968,21,,2,0,1,0,23,49.9,-97.1
wnmb03,wnmb,Winnipeg,MB,C,1,US Depot,Flat,0,22752,22,,2,0,0,0,75,49.9,-97.1
wnmb04,wnmb,Winnipeg,MB,C,2,Arch Hanger,Flat,0,35200,67,,2,0,0,0,76,49.9,-97.1
wnmb05,wnmb,Winnipeg,MB,C,3,ME Garage,Flat,0,26112,21,,2,0,0,0,77,49.9,-97.1
wnmb06,wnmb,Winnipeg,MB,C,4,Cant Hangar,Flat,0,127563,53,,2,0,0,0,78,49.9,-97.1
