"","X","CLUST","NAME","STATE","TIER","ECO3","LATITUDE","LONGITUDE","ELEVATION","PPTWT","logPPTWT","MCMT","MWMT","TD","MAT","ELEVATION_PRISM","medMax","PROP_ZERO","LOCATION","SCALE","SHAPE","EVENT10","EVENT15","EVENT20","EVENT30","EVENT50","RT_I","RT_II","RT_III","RT_IV","RATIO","rawDiff","w2","est_wind_avg","est_temp_avg"
"2894",2894,"8.1.6.0101","WINAMAC 2SSE","IN",1,"8.1.6",41,-86.5,210.3,166.143058419517,5.11284921493004,-4.44015992496811,22.7818807298027,27.2220408790825,10.0198400010038,213.541583977435,0.280405313139963,0,0.252970503577083,0.107526999548352,0.138329078001799,11,13,14,15,17,28,36,42,49,2.11764705882353,19,0.422219499959124,4.29088057043152,4.04024848158116
"2895",2895,"8.1.6.0102","ALBION","MI",1,"8.1.6",42.25,-84.75,286.5,156.318606035689,5.05189627087811,-4.73447549454269,21.7999992370605,26.5344744015251,8.94999980926514,290.370879953596,0.431751150534304,0,0.363234410250786,0.170667910009971,0.0917476724402648,16,18,20,22,24,37,47,54,61,1.95833333333333,23,0.34944619234886,3.91528126494295,2.63540951876274
"2896",2896,"8.1.6.0103","ALLEGAN 5NE","MI",1,"8.1.6",42.5,-85.75,228.6,199.391217997113,5.295268814417,-4.60903995542663,21.7216960172581,26.3307361702862,8.90532788978829,228.651201547601,0.612036674537199,0,0.555783116109845,0.204623828505187,0.0921399096912062,22,25,26,29,32,46,59,67,79,1.84375,27,0.308825346443924,3.70846646249261,2.77190683772045
"2897",2897,"8.1.6.0104","ALMA","MI",1,"8.1.6",43.5,-84.75,222.2,139.324191719095,4.93680353203267,-5.620514393338,21.4594853227951,27.0799997011412,8.32316568976668,224.051439971469,0.533860440152201,0,0.450085019755225,0.197489727361484,0.0154654993025345,19,21,22,24,26,36,44,48,53,1.69230769230769,18,0.323718109953288,3.80799255478131,1.67439784924613
"2898",2898,"8.1.6.0107","BATTLE CREEK 5NW","MI",1,"8.1.6",42.25,-85.25,283.5,152.658195158205,5.02820140367633,-4.50023951891376,22.1496405883661,26.6498801110869,9.27964053519305,277.94409664468,0.453265747509976,0,0.387621061045934,0.156378196249966,0.113107927690794,16,18,20,22,24,37,48,55,64,2,24,0.305510042310932,3.72222426390315,2.63280382115613
"2899",2899,"8.1.6.0108","BENTON HARBOR AP","MI",1,"8.1.6",42,-86.5,190.5,151.218254075985,5.01872418447416,-3.44913252036981,22.0148272156127,25.4639599321421,9.56278716681595,190.738688225331,0.634274428975912,0,0.536625345577488,0.316546173475882,0.0904650251997397,28,31,34,37,42,65,86,98,115,2.04761904761905,44,0.536853092376808,4.88259300980779,3.52529887264973
"2900",2900,"8.1.6.0110","BLOOMINGDALE","MI",1,"8.1.6",42.5,-86,224.3,195.211659368111,5.27408440256463,-4.29432007735587,21.9200000770018,26.2143201381456,9.16033985620883,224.533999951571,0.686061511111464,0.00961538461538462,0.615351293204561,0.271696246793321,0.0734463294438734,27,30,32,35,38,55,71,82,94,1.86842105263158,33,0.447414173259035,4.36661073331293,2.95183119229165
"2901",2901,"8.1.6.0114","CASSOPOLIS","MI",1,"8.1.6",42,-86,275.2,182.29187329878,5.20560910196786,-4.20011980488842,22.6000403798425,26.800159232964,9.75003999837937,267.003999747713,0.448283187985393,0,0.379541090744958,0.180228893833472,0.114414244455905,18,20,21,23,26,41,54,63,73,2.07692307692308,28,0.332083101626086,3.82575968829803,3.06712842753183
"2902",2902,"8.1.6.0116","CHARLOTTE","MI",1,"8.1.6",42.5,-84.75,274.9,137.834511904259,4.92605377645503,-4.89257074211914,21.4809941232205,26.3735644497969,8.67967485688725,273.162911558357,0.469996985032466,0.0106382978723404,0.406524809867085,0.202977830854748,0.0787343775225595,19,21,23,25,28,41,53,61,68,1.89285714285714,25,0.321211727903922,3.78472597207875,2.6334249860372
"2903",2903,"8.1.6.0117","CHELSEA","MI",1,"8.1.6",42.25,-84,274.3,147.709879174772,4.99525007406268,-4.79932145454861,21.800597007243,26.5999184539177,8.98495837369539,275.964511838823,0.458856037263443,0,0.398909160570595,0.149832768787103,0.0648701246274743,16,17,19,20,22,32,40,45,50,1.81818181818182,18,0.340156748170582,3.88789573076691,2.66507981755063
"2904",2904,"8.1.6.0118","COLDWATER ST SCHOOL","MI",1,"8.1.6",42,-85,299.9,168.951132991627,5.12960951921432,-4.77050419424665,22.0438561067753,26.8143604867978,9.14803208109993,298.050399922402,0.373850067097156,0,0.32344499025713,0.139877995002506,0.114675943579861,14,16,17,19,21,33,43,49,56,2.04761904761905,22,0.407835673695358,4.19657658083757,2.70304544529148
